Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP,Spend_NZD
US,US-CA,CA-28,1080700,950950,76629000,1880325,7143100,24725000,7175500,307620000,4128100,4571175,10017750,821300,1610200
US,US-CA,CA-29,950900,836750,67425000,1654475,6285100,21755000,6313500,270667500,3632300,4022100,8814750,722650,1416800
US,US-CA,CA-3,590700,519850,41888500,1027875,3904700,13516000,3922500,168157500,2256600,2498775,5475750,448950,880200
US,US-CA,CA-30,918400,808200,65124250,1598025,6070700,21013000,6098000,261435000,3508300,3884850,8514000,698000,1368400
US,US-CA,CA-31,775400,682350,54984000,1349200,5125400,17741000,5148500,220725000,2962100,3279975,7188000,589300,1155400
US,US-CA,CA-32,559600,492400,39679000,973650,3698800,12803000,3715500,159285000,2137600,2367000,5187000,425250,833800
US,US-CA,CA-33,1210100,1064850,85807000,2105550,7998700,27687000,8035000,344460000,4622500,5118675,11217750,919650,1803000
US,US-CA,CA-34,925600,814500,65631500,1610475,6118000,21177000,6145500,263467500,3535600,3915150,8580000,703450,1379000
US,US-CA,CA-35,718900,632600,50976500,1250875,4751900,16448000,4773500,204637500,2746200,3040875,6663750,546350,1071200
US,US-CA,CA-36,789900,695150,56015250,1374500,5221600,18074000,5245500,224865000,3017600,3341475,7323000,600350,1177000
US,US-CA,CA-37,826800,727600,58631000,1438700,5465400,18918000,5490000,235365000,3158500,3497550,7665000,628400,1232000
US,US-CA,CA-38,575300,506250,40793750,1001000,3802700,13163000,3820000,163762500,2197600,2433450,5333250,437200,857200
US,US-CA,CA-39,1218000,1071900,86371250,2119400,8051200,27869000,8088000,346725000,4652900,5152275,11291250,925700,1814800
US,US-CA,CA-4,841100,740200,59643250,1463525,5559800,19245000,5585000,239430000,3213100,3557925,7797000,639250,1253200
US,US-CA,CA-40,511600,450200,36276750,890175,3381600,11705000,3397000,145627500,1954300,2164050,4742250,388800,762200
US,US-CA,CA-41,635800,559500,45083750,1106275,4202600,14547000,4221500,180982500,2428700,2689350,5893500,483200,947400
US,US-CA,CA-42,636900,560450,45162500,1108200,4209900,14572000,4229000,181297500,2433000,2694075,5904000,484050,949000
US,US-CA,CA-43,1526100,1342950,108215250,2655400,10087500,34917000,10133500,434415000,5829700,6455400,14147250,1159850,2273800
US,US-CA,CA-44,557600,490750,39542500,970300,3686000,12759000,3703000,158737500,2130200,2358825,5169000,423800,830800
US,US-CA,CA-45,1834600,1614400,130088250,3192125,12126400,41975000,12181500,522225000,7008000,7760175,17006250,1394250,2733400
US,US-CA,CA-46,683600,601600,48476750,1189525,4518900,15642000,4539500,194602500,2611500,2891775,6337500,519550,1018600
US,US-CA,CA-47,781700,687900,55431500,1360175,5167100,17886000,5190500,222525000,2986200,3306675,7246500,594100,1164800
US,US-CA,CA-48,1731200,1523500,122762500,3012375,11443500,39611000,11495500,492817500,6613400,7323150,16048500,1315750,2579600
US,US-CA,CA-49,1165400,1025550,82640000,2027825,7703400,26665000,7738500,331747500,4451900,4929750,10803750,885700,1736400
US,US-CA,CA-5,746100,656550,52905500,1298200,4931700,17071000,4954000,212385000,2850100,3156000,6916500,567050,1111600
US,US-CA,CA-50,819300,721050,58100000,1425675,5415900,18747000,5440500,233235000,3129900,3465825,7595250,622700,1220800
US,US-CA,CA-51,676000,594900,47935250,1176250,4468400,15467000,4488500,192427500,2582300,2859450,6266250,513750,1007200
US,US-CA,CA-52,1073000,944250,76085250,1867000,7092400,24550000,7124500,305437500,4098800,4538700,9946500,815450,1598800
US,US-CA,CA-53,861700,758300,61103750,1499375,5695900,19716000,5721500,245295000,3291700,3645000,7988250,654900,1284000
US,US-CA,CA-6,1287600,1133100,91305000,2240450,8511200,29461000,8550000,366532500,4918700,5446650,11936250,978600,1918600
US,US-CA,CA-7,786100,691750,55742000,1367800,5196100,17986000,5219500,223770000,3002900,3325200,7287000,597450,1171200
US,US-CA,CA-8,786100,691750,55739250,1367725,5195800,17985000,5219500,223755000,3002700,3324975,7287000,597400,1171200
US,US-CA,CA-9,638800,562100,45295250,1111450,4222300,14615000,4241500,181830000,2440100,2702025,5921250,485450,951800
US,US-CO,CO-1,3281500,2887700,232689250,5709775,21690500,75080000,21789000,934102500,12535200,13880625,30419250,2493900,4889400
US,US-CO,CO-2,1413800,1244150,100251750,2460000,9345100,32347000,9387500,402450000,5400700,5980350,13105500,1074500,2106600
US,US-CO,CO-3,1104800,972200,78340250,1922325,7302600,25277000,7336000,314490000,4220300,4673250,10241250,839650,1646200
US,US-CO,CO-4,1266500,1114500,89807500,2203700,8371600,28978000,8409500,360525000,4838000,5357325,11740500,962550,1887000
US,US-CO,CO-5,1107500,974600,78533000,1927050,7320600,25340000,7354000,315262500,4230700,4684725,10266750,841700,1650200
US,US-CO,CO-6,1858400,1635400,131778500,3233600,12284000,42520000,12339500,529012500,7099100,7860975,17227500,1412400,2769000
US,US-CO,CO-7,1268500,1116300,89950250,2207225,8384900,29024000,8423000,361095000,4845700,5365800,11759250,964050,1890000
US,US-CT,CT-1,578000,508650,40986250,1005725,3820600,13225000,3838000,164535000,2208000,2444925,5358000,439300,861200
US,US-CT,CT-2,557300,490450,39520000,969750,3683900,12752000,3700500,158647500,2129000,2357475,5166750,423550,830400
US,US-CT,CT-3,519000,456700,36801500,903050,3430500,11874000,3446000,147735000,1982500,2195325,4811250,394450,773200
US,US-CT,CT-4,675600,594550,47908500,1175575,4465900,15458000,4486000,192322500,2580900,2857875,6263250,513450,1006600
US,US-CT,CT-5,522400,459700,37041750,908925,3452900,11952000,3468500,148702500,1995500,2209650,4842750,397000,778400
US,US-DC,DC-AT LARGE,2740800,2411900,194349250,4768975,18116600,62709000,18199000,780195000,10469800,11593500,25407000,2083000,4083800
US,US-DE,DE-AT LARGE,935800,823500,66358250,1628300,6185700,21411000,6214000,266385000,3574800,3958500,8675250,711200,1394400
US,US-FL,FL-1,1249900,1099950,88631500,2174850,8261900,28598000,8299500,355800000,4774700,5287125,11586750,949950,1862400
US,US-FL,FL-10,3010000,2648800,213438000,5237375,19896000,68868000,19986500,856822500,11498100,12732225,27902250,2287600,4484800
US,US-FL,FL-11,1375800,1210750,97560500,2393950,9094300,31479000,9135500,391642500,5255700,5819775,12753750,1045650,2050000
