Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP,Spend_NZD
US,US-TX,TX-29,481500,423750,34145500,837875,3182900,11017000,3197500,137070000,1839400,2036850,4464000,365950,717400
US,US-TX,TX-3,947300,833600,67171750,1648275,6261500,21674000,6290000,269655000,3618600,4007025,8781000,719950,1411400
US,US-TX,TX-30,1381800,1216000,97986750,2404425,9134000,31617000,9175500,393360000,5278700,5845200,12810000,1050200,2059000
US,US-TX,TX-31,908000,799000,64384750,1579875,6001700,20775000,6029000,258465000,3468500,3840750,8417250,690050,1352800
US,US-TX,TX-32,1649000,1451100,116928750,2869225,10899700,37729000,10949000,469395000,6299100,6975150,15285750,1253200,2457000
US,US-TX,TX-33,634500,558400,44993750,1104075,4194200,14518000,4213000,180622500,2423900,2684025,5882250,482250,945400
US,US-TX,TX-34,388000,341450,27515500,675175,2564900,8878000,2576500,110460000,1482300,1641375,3597000,294900,578200
US,US-TX,TX-35,370400,325950,26265750,644525,2448400,8475000,2459500,105442500,1415000,1566825,3433500,281500,552000
US,US-TX,TX-36,612400,538900,43425250,1065575,4048000,14012000,4066500,174322500,2339400,2590425,5676750,465400,912400
US,US-TX,TX-4,886400,780000,62851500,1542250,5858800,20280000,5885500,252307500,3385900,3749325,8216250,673650,1320600
US,US-TX,TX-5,846800,745200,60048500,1473475,5597500,19375000,5623000,241057500,3234900,3582075,7850250,643600,1261800
US,US-TX,TX-6,870100,765700,61698750,1513975,5751400,19908000,5777500,247680000,3323800,3680550,8065500,661300,1296400
US,US-TX,TX-7,1492600,1313450,105837500,2597050,9865800,34150000,9910500,424875000,5701600,6313500,13836000,1134350,2224000
US,US-TX,TX-8,794600,699300,56347750,1382675,5252600,18181000,5276500,226200000,3035500,3361350,7366500,603950,1184000
US,US-TX,TX-9,624600,549650,44291500,1086825,4128700,14291000,4147500,177802500,2386000,2642100,5790000,474700,930600
US,US-UT,UT-1,665400,585550,47184250,1157825,4398400,15225000,4418500,189412500,2541900,2814675,6168000,505700,991400
US,US-UT,UT-2,1252000,1101800,88782500,2178550,8276000,28647000,8313500,356407500,4782800,5296125,11606250,951550,1865600
US,US-UT,UT-3,605300,532650,42920000,1053175,4000900,13849000,4019000,172297500,2312200,2560350,5610750,460000,901800
US,US-UT,UT-4,815100,717250,57796000,1418200,5387500,18649000,5412000,232012500,3113500,3447675,7555500,619450,1214400
US,US-VA,VA-1,760800,669500,53949000,1323800,5029000,17407000,5052000,216570000,2906300,3218250,7053000,578200,1133600
US,US-VA,VA-10,1578400,1389000,111925500,2746450,10433300,36114000,10480500,449310000,6029600,6676725,14631750,1199600,2351800
US,US-VA,VA-11,1339000,1178350,94951750,2329925,8851100,30637000,8891500,381172500,5115100,5664150,12413250,1017650,1995200
US,US-VA,VA-2,1752600,1542350,124280000,3049600,11585000,40101000,11637500,498907500,6695100,7413675,16247250,1332000,2611400
US,US-VA,VA-3,679500,597950,48181250,1182275,4491300,15546000,4511500,193417500,2595600,2874150,6298500,516400,1012400
US,US-VA,VA-4,1081600,951800,76695000,1881950,7149300,24747000,7181500,307882500,4131600,4575075,10026000,822000,1611600
US,US-VA,VA-5,808800,711700,57348750,1407225,5345900,18504000,5370000,230220000,3089400,3421050,7497000,614650,1205000
US,US-VA,VA-6,711800,626400,50473750,1238525,4705000,16286000,4726500,202620000,2719100,3010875,6598500,540950,1060600
US,US-VA,VA-7,1105400,972750,78384750,1923425,7306800,25292000,7340000,314670000,4222700,4675875,10247250,840100,1647000
US,US-VA,VA-8,1737100,1528600,123175750,3022500,11482100,39744000,11534000,494475000,6635600,7347825,16102500,1320200,2588200
US,US-VA,VA-9,547200,481550,38805000,952200,3617300,12521000,3633500,155775000,2090500,2314800,5073000,415900,815400
US,US-VT,VT-AT LARGE,695200,611800,49296750,1209650,4595300,15906000,4616000,197895000,2655700,2940675,6444750,528350,1035800
US,US-WA,WA-1,957900,843000,67927000,1666800,6331900,21917000,6360500,272685000,3659300,4052025,8880000,728050,1427400
US,US-WA,WA-10,797500,701800,56550250,1387650,5271400,18247000,5295500,227017500,3046400,3373425,7392750,606100,1188200
US,US-WA,WA-2,704200,619750,49938250,1225400,4655100,16113000,4676000,200475000,2690200,2979000,6528750,535250,1049400
US,US-WA,WA-3,843900,742650,59840500,1468375,5578100,19308000,5603500,240225000,3223700,3569700,7823250,641350,1257400
US,US-WA,WA-4,501900,441700,35591500,873350,3317700,11484000,3333000,142875000,1917400,2123175,4653000,381450,747800
US,US-WA,WA-5,729300,641800,51715250,1269000,4820700,16687000,4842500,207607500,2786000,3084975,6760500,554300,1086600
US,US-WA,WA-6,844500,743200,59885000,1469475,5582300,19323000,5607500,240405000,3226100,3572325,7828500,641850,1258400
US,US-WA,WA-7,1265400,1113550,89731000,2201825,8364400,28953000,8402500,360217500,4833900,5352750,11730750,961700,1885400
US,US-WA,WA-8,991100,872150,70278500,1724500,6551100,22676000,6581000,282127500,3786000,4192350,9187500,753250,1476800
US,US-WA,WA-9,1115800,981850,79117750,1941400,7375100,25528000,7408500,317610000,4262200,4719600,10343250,847950,1662400
US,US-WI,WI-1,1525800,1342700,108194000,2654875,10085500,34910000,10131500,434332500,5828500,6454125,14144250,1159600,2273400
US,US-WI,WI-2,1792600,1577450,127110250,3119050,11848800,41014000,11902500,510270000,6847600,7582500,16617000,1362350,2671000
US,US-WI,WI-3,1373300,1208450,97378250,2389475,9077300,31420000,9118500,390915000,5245900,5808900,12730500,1043700,2046200
US,US-WI,WI-4,2181600,1919850,154699500,3796050,14420600,49916000,14486000,621022500,8333800,9228300,20223750,1658050,3250600
US,US-WI,WI-5,1426600,1255450,101162000,2482325,9430000,32641000,9473000,406102500,5449700,6034650,13224750,1084250,2125600
US,US-WI,WI-6,1341800,1180750,95145500,2334700,8869200,30700000,8909500,381952500,5125600,5675700,12438000,1019750,1999200
US,US-WI,WI-7,1186900,1044450,84162500,2065200,7845400,27156000,7881000,337860000,4533900,5020575,11002500,902050,1768400
US,US-WI,WI-8,1360800,1197500,96496000,2367825,8995000,31136000,9036000,387375000,5198300,5756250,12615000,1034250,2027600
US,US-WV,WV-1,592800,521700,42038250,1031550,3918700,13564000,3936500,168757500,2264700,2507700,5496000,450550,883400
US,US-WV,WV-2,660500,581250,46838000,1149325,4366100,15113000,4386000,188025000,2523200,2794050,6123000,502000,984200
US,US-WV,WV-3,568700,500500,40328750,989600,3759300,13013000,3776500,161895000,2172500,2405700,5272500,432250,847400
US,US-WY,WY-AT LARGE,440500,387700,31239000,766550,2912000,10080000,2925000,125407500,1682900,1863525,4083750,334800,656400
